property_name,area_type,property_type,status,furnishing,facing,description,price,price_num,square_feet,price_per_sqft,floor_info,max_floors
3 BHK  House for Sale in Navagam Surat,Carpet Area,Resale,Ready to Move,Unfurnished,West,"Gala type 3story row house,all three floors already on rent.With dastavej , loan facility, gated societyfix priceRead more",₹27 Lac ,2700000.0,1200.0,2160.0,0.0,3.0
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,Resale,Ready to Move,Unfurnished,East,"2 BHK, Builder Floor Apartment is available for Sale in Adajan, Surat for 35.0 Lac(s)Read more",₹35 Lac ,3500000.0,1200.0,2917.0,3.0,5.0
2 BHK Apartment for Sale in Amroli Surat,Carpet Area,Resale,Ready to Move,Furnished,East,"Near Main road, Garden facing, Corner Flat, First Floor, Good road connectivityRead more",₹19 Lac ,1900000.0,580.0,2436.0,1.0,5.0
2 BHK Builder Floor for Sale in Pasodara Surat,Super Area,Resale,Ready to Move,Unfurnished,East,This Builder Floor Apartment is located at 1st floor in a building of total 4 floors. This spacious Builder Floor Apartment was constructed approx. 5 to 10 years years back.Read more,₹10.5 Lac ,1050000.0,861.0,1220.0,4.0,4.0
2 BHK Apartment for Sale in Umra Surat,Super Area,Resale,Ready to Move,Unfurnished,East,,₹47 Lac ,4700000.0,1200.0,3917.0,2.0,7.0
2 BHK Apartment for Sale in Palanpur Gam Surat,Super Area,Resale,Ready to Move,Unfurnished,North, Freehold Multistorey Apartment faces North direction & is located at 4th floor. Ample space for covered car parking for visitors. Read more,₹45 Lac ,4500000.0,1200.0,3750.0,4.0,8.0
"2 BHK Apartment for Sale in Rajhans Platinum, Palanpur Surat",Carpet Area,Resale,Ready to Move,Furnished,East,fully Furnished flat on sell,₹46 Lac ,4600000.0,660.0,3932.0,4.0,5.0
2 BHK Apartment for Sale in Varachha Surat,Super Area,Resale,Ready to Move,Unfurnished,North,"only for patel, contact for buy",₹38 Lac ,3800000.0,990.0,3838.0,1.0,6.0
2 BHK Apartment for Sale in Surat,Super Area,Resale,Ready to Move,Semi-Furnished,East,,₹46.5 Lac ,4650000.0,1161.0,4005.0,1.0,1.0
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Super Area,Resale,Ready to Move,Unfurnished,East,main road view with very precious locality,₹45 Lac ,4500000.0,1252.0,3594.0,5.0,14.0
2 BHK Builder Floor for Sale in Gopi Pura Surat,Super Area,Resale,Ready to Move,Furnished,East,,₹25 Lac ,2500000.0,1000.0,2500.0,3.0,5.0
1 BHK  House for Sale in Dindoli Surat,Super Area,Resale,Ready to Move,Unfurnished,West,It is under construction so we can customise your house.,₹20 Lac ,2000000.0,504.0,3968.0,0.0,1.0
